trip_id,id,nombre,codigo,descripcion,destino,ida-vuelta,activo,trip_headsign
3373,3608,G-11-T11,111,p.m.-centro-unimev,NULL,0,1,centro
3371,3608,G-11-T11,121,unimev-centro-p.m,NULL,1,0,centro
3369,3608,G-11-T11,122,unimev-centro-p.m,NULL,1,0,centro
1690,3312,G-01-011A,11111,011A-CARR-CG-CTROxFA,011A - CARRODILLA - CENTRO X FIGUEROA ALCORTA - C. GOB.,1,1,CENTRO
2998,3312,G-01-011A,11111,011A-Ctro-CarrxF.A. ,011 - Centro - Carrodilla x F. Alcorta - C. Gob,0,1,CARRODILLA
2999,3312,G-01-011A,11112,011A-Carr-Ctro.xF.A.,011 - Centro Carrodilla por F. Alcorta ,0,1,CARRODILLA
3003,3312,G-01-011A,11112,011A-Carr-Ctro.XF.A.,011A - Carrodilla - Centro por F. Alcorta,1,1,CENTRO
2994,3313,G-01-011B,11113,011B-B21-Ctro.xF.A.,011 - B. 21 de Julio - Carrodilla - Centro por F. Alcorta - C/Gob. ,1,1,CENTRO
3000,3313,G-01-011B,11113,011B-B21-Ctro.xF.A.,011B-Centro - Carrodilla x F. Alcorta ,0,1,CARRODILLA
3001,3312,G-01-011A,11114,011A-Carr-CtroxF.A.,011A - Centro - Carrodilla x F. Alcorta,0,1,CARRODILLA
3004,3312,G-01-011A,11114,011A-Carr-Ctro.xF.A.,011-B. 21de Julio - Carrodilla - Centro x F. Alcorta ,1,1,CENTRO
2995,3314,G-01-011C,11115,011C-Ctro-B21-Carr,011C - Centro - Carrodilla x F. Alcorta - B. 21 de Julio ,0,1,CARRODILLA
2996,3314,G-01-011C,11115,011C-Ctro-B21-Carr,011C - Carrodilla - Centro - B. 21 de Julio x F. Alcorta - C/Gob. ,1,1,CENTRO
3005,3314,G-01-011C,11116,011C-Ctro-B21-Carr,011C - Carrodilla - Centro x F. Alcorta - B. 21 de Julio,1,1,CENTRO
3006,3314,G-01-011C,11116,011C-Ctro-B21-Carr,011C - Centro - Carrodilla x F. Alcorta - B. 21 de Julio,0,1,CARRODILLA
2239,3313,G-01-011B,11117,011B-B21-Ctro.xF.A.,011 - Carrodilla-B. 21 de Julio - Centro x F. Alcorta,1,1,CENTRO
2241,3313,G-01-011B,11117,011B-B21-Ctro.xF.A.,011 - Centro - Carrodilla x F. Alcorta - B.21 de Julio.,0,1,CARRODILLA
2990,3313,G-01-011B,11118,011B-B21-Ctro.xF.A.,NULL,0,1,CARRODILLA
2991,3313,G-01-011B,11118,011B-B21-Ctro.xF.A.,011 - Carrodilla-B. 21 de Julio - Centro x F. Alcorta. C./Gob.,1,1,CENTRO
2221,3315,G-01-012,12121,012-F.Cuyo-Chac-Ctro,012 - Carrodilla - Centro Por Flor de Cuyo - Chacras de Coria,1,0,CENTRO
2230,3315,G-01-012,12121,012-FCuyo-Casta-Ctro,012 - Centro - B  Flor de Cuyo - B  Los Castaños,0,1,B LOS CASTAÑOS
3052,3315,G-01-012,12122,012-F.Cuyo-Ctro,012 - Carrodilla por B  Flor de Cuyo - Centro,1,1,CENTRO
3053,3315,G-01-012,12122,012-F.Cuyo-Ctro,012 - Centro - Carrodilla por B  Flor de Cuyo,0,1,CARRODILLA
3059,3315,G-01-012,12123,012-F.Cuyo-Chac-Ctro,012 - Carrodilla - Centro por B  Flor de Cuyo,1,1,CENTRO
3060,3315,G-01-012,12123,012-F.Cuyo-Chac-Ctro,012 - Centro - Chacras de Coria - Cementeria Parque Jardin Mendoza,0,1,CHACRAS DE CORIA
2243,3328,G-01-013,13131,013-Ctro-LHerasxROCA,013 - Carrodilla - Centro - Las Heras por Roca - Casa de Gobierno,1,1,LAS HERAS
3061,3328,G-01-013,13131,013-LHer.CarrodxROCA,013 - Las Heras - Carrodilla por Roca,0,1,CARRODILLA
2960,3328,G-01-013,13132,013-Carr-LHerasxROCA,013 - Carrodilla - Las Heras por Roca,1,1,LAS HERAS
3085,3328,G-01-013,13132,013-LASHER.CARRxROCA,NULL,0,1,CARRODILLA
2245,3329,G-01-013ESCR,13133,013ES - Esc. Roca,013 - Escolar Roca de las 07:20 hs,1,1,B LOYOLA
2246,3329,G-01-013ESCR,13133,013ES - Esc. Roca,013-Escolar Roca7:20,0,1,CONTROL CARRODILLA
2247,3329,G-01-013ESCR,13134,013ES -Esc. Roca,013 - Escolar Roca de las 12:30,1,1,LOCAL
2248,3329,G-01-013ESCR,13134,013ES - Esc. Roca,013 - Escolar Roca de las 12:30 hs,0,1,LOCAL
2250,3329,G-01-013ESCR,13135,013ES - Esc. Roca,013 - Escolar Roca de las 17:30 hs,1,1,LOCAL
2251,3329,G-01-013ESCR,13135,013ES - Esc. Roca,013 - Escolar Roca de las 17:30 hs,0,1,LOCAL
