route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,active
98,1,011,,011B-B21-Ctro.xF.A.,Bus,,,True
7,,032,,32EST.G.CRUZ,Bus,,,True
1,,014,,014F-BcoEnc/Pan/Loc.,Bus,,,True
2,,015,,015-B.Cast.-Ch.-Ctro,Bus,,,True
3,,016,,016B-L.UNC.S.El.,Bus,,,True
4,,017,,017-B.Aler-Luj-Maipu,Bus,,,True
5,,018,,018-Exp. Roca C.Gob.,Bus,,,True
6,,019,,019C-Lj.Ctro.Hue.SMt,Bus,,,True
8,,033,,033-LAS HERAS,Bus,,,True
9,,051,,051B S.ANA-SHOP-PQUE,Bus,,,True
10,,052,,052D S.LNZO-UNC-LIC,Bus,,,True
11,,053,,053D BEL-H.L-UNC-LIC,Bus,,,True
12,,054,,054K-M.C.NIEVE.CTRO,Bus,,,True
13,,055,,055J-CENTROxCALLE 7,Bus,,,True
14,,056,,056D-ALAM-EL CARMEN,Bus,,,True
15,,061,,061 S.Y SIERR BORB,Bus,,,True
16,,062,,062C M.H.SEUREK SC.G,Bus,,,True
17,,063,,063A IND.PATR.CGPI,Bus,,,True
18,,064,,064A UJEMVI C/C.GOB,Bus,,,True
19,,065,,065A 1 DE MAYO,Bus,,,True
20,,066,,066A DOR-MATHEU-S/CG,Bus,,,True
21,,067,,067A EXP DOR C/CGOB,Bus,,,True
22,,068,,068A ORTIZ C/CG,Bus,,,True
23,,069,,069 MUNI LAS HERAS,Bus,,,True
24,,071,,071B GLLEN-GC-GOBxOB,Bus,,,True
25,,072,,072F S.IGN-COLON-GOB,Bus,,,True
26,,073,,073C B°SUPE/Jud-C.G.,Bus,,,True
27,,074,,074C B°SUPE/Jud/C.G.,Bus,,,True
28,,075,,075A SUPE-PLAZA G.C.,Bus,,,True
29,,076,,076A EXPR/SUPE-CTRO,Bus,,,True
30,,081,,081 Roca x SanMartín,Bus,,,True
31,,082,,082-San Miguel C.Gob,Bus,,,True
32,,083,,083 Finca González,Bus,,,True
33,,084,,084 Minetti,Bus,,,True
34,,086,,086-Espejo Casa Gob.,Bus,,,True
35,,088,,088 Shopping - Notti,Bus,,,True
36,,091,,091B UNC VIAJANTES,Bus,,,True
37,,092,,092ES ESC PAROIS IDA,Bus,,,True
38,,093,,093ES ESC MANZO VIAJ,Bus,,,True
39,,094,,094 INFANTA C GOB,Bus,,,True
40,,101,,101 CENTRO-B CADORE,Bus,,,True
41,,102,,102 6ta DORREGO,Bus,,,True
42,,103,,103 NA-UNCxJBJ-LI.SC,Bus,,,True
43,,104,,104 UNIMEV-BANC-S/CG,Bus,,,True
44,,111,,111 CTRO-LH-xH.CTRAL,Bus,,,True
45,,114,,114SDAD.CTRO,Bus,,,True
46,,116,,116-B.Mat.-UNC-Zoo,Bus,,,True
47,,121,,121 B LGLOR-9JUL-ALS,Bus,,,True
48,,122,,122 B LA GLO-P.OLIVE,Bus,,,True
49,,123,,123 B ANT PLA G/CRUZ,Bus,,,True
50,,124,,124 B L.Glo-Dir-Cost,Bus,,,True
51,,125,,125 V NUE LA GLORIA,Bus,,,True
52,,131,,131B CUYANITA BORBO,Bus,,,True
53,,132,,132 B VIC PZA LS HS,Bus,,,True
54,,133,,133C ALG PEGA CTRO,Bus,,,True
55,,151,,151-MZA PTE O BDO MP,Bus,,,True
56,,152,,152MPU MZA TER ACC S,Bus,,,True
57,,153,,153 MAIPU-MZA-MAZA,Bus,,,True
58,,155,,155 MZA-MPU EXP.MAZA,Bus,,,True
59,,161,,161-MZ-EXP.STEA-MAIP,Bus,,,True
60,,162,,162 BOEDO C-GOB MPU,Bus,,,True
61,,163,,163 NAZARENO-VUELTA,Bus,,,True
62,,165,,LOCAL COQUIM LUZUR,Bus,,,True
63,,166,,166 NAZAR CG XDORR,Bus,,,True
64,,171,,171 R.CRUZ GUTIERR.,Bus,,,True
65,,172,,172CENS-MPU R.C.MZA,Bus,,,True
66,,173,,173 R.PEÑA COQ.MPU,Bus,,,True
