trip_id,stop_id,stop_sequence,stop_time,shape_dist_traveled
2532,8022,26,,8.0331
2760,8140,10,,15.931
2997,8023,34,,10.5681
2107,2052,45,,13.4133
3217,5187,55,,19.4552
3228,5614,74,,21.9934
3313,4046,19,,7.1958
3333,7018,39,,10.8424
3343,1567,20,,6.3238
2581,9284,6,,1.3464
2666,7973,36,,9.4282
2678,4924,5,,0.5541
2696,2800,4,,19.055
2032,7668,18,,11.9083
2049,4426,3,,1.9753
3253,4652,54,,22.5074
2524,4859,23,,4.8989
1602,4392,7,00:14:01,4.6771
2524,4861,22,,4.6899
1602,4728,13,00:30:46,10.2561
2524,4899,7,,1.5185
2524,4901,8,,1.7359
1602,4737,10,00:23:39,7.8884
1602,4772,15,00:34:39,11.552
2524,4915,27,,5.7961
2524,4920,9,,2.0126
1602,4792,4,00:06:58,2.3266
1602,7000,1,00:00:07,0.0418
2524,4922,10,,2.1943
2524,4925,12,,2.4529
1610,2044,56,00:54:30,18.1686
1610,2753,12,00:08:58,2.9939
1610,2792,1,00:00:49,0.2743
2524,7067,2,,0.1501
2524,7070,3,,0.2707
2524,7071,4,,0.4562
2524,7079,5,,0.8669
2524,9264,18,,3.7602
2524,9321,17,,3.517
2524,9322,19,,3.9604
2524,9323,20,,4.166
2526,7393,3,,1.0602
2526,7483,12,,2.9377
1610,4546,34,00:25:37,8.5433
2526,7484,13,,3.0893
2526,7487,14,,3.2703
2526,7501,15,,3.425
2526,7502,16,,3.5706
2526,7504,11,,2.7192
2526,7508,10,,2.4496
2526,7512,8,,2.1814
2526,7514,7,,2.0419
2526,7517,5,,1.7313
1610,4577,23,00:17:13,5.7435
2527,7145,23,,6.4064
2527,7147,24,,6.7187
2527,7169,28,,7.7341
2527,7172,27,,7.5122
2527,7173,26,,7.2849
2527,7187,20,,5.6822
2527,7188,19,,5.4804
2527,7190,18,,5.0514
2527,7391,40,,9.6406
2527,7444,42,,10.3415
2527,7445,43,,11.3365
1610,5219,45,00:31:17,10.4279
2527,7485,32,,8.242
2527,7495,31,,8.118
2527,7497,30,,8.0614
2527,7500,29,,7.9203
2527,7506,34,,8.7153
2527,7507,35,,8.9138
2527,7509,36,,9.0095
2527,7511,37,,9.1534
1611,2045,1,00:00:18,0.1009
1611,2836,51,00:50:11,16.728
1611,4550,21,00:27:58,9.327
1611,4564,31,00:33:22,11.1247
1611,4638,41,00:40:07,13.3776
1611,5220,11,00:20:24,6.8047
1602,1280,2,,0.7782
1610,2043,55,,17.9093
1610,2047,54,,17.6543
1610,2052,52,,17.256
1610,2465,51,,12.2864
1610,2466,50,,12.1725
1610,2690,16,,3.98
1610,2695,14,,3.5162
1610,2696,15,,3.7368
1610,2743,13,,3.2367
1610,2800,2,,0.5412
1610,2805,11,,2.5162
1610,2807,10,,2.1199
1611,2046,2,,0.3227
1611,2051,6,,1.0573
1611,2194,3,,0.6428
1611,2213,4,,0.6963
1611,2467,7,,5.9286
1611,2504,5,,1.0425
1611,2697,44,,14.3305
1611,2698,45,,14.6471
1611,2746,46,,15.0522
1611,2792,47,,15.6783
1611,2800,48,,15.9453
1611,2833,49,,16.1168
1611,2834,50,,16.4148
1611,4543,25,,9.954
1611,4545,24,,9.7716
1611,4547,23,,9.6232
1611,4549,22,,9.538
1611,4552,20,,9.2055
1611,4560,29,,10.7814
1611,4562,30,,10.9116
1611,4565,32,,11.4083
1611,4567,33,,11.6655
1611,4570,34,,11.8886
1611,4580,35,,12.1229
1611,4581,36,,12.4962
1611,4637,40,,13.297
1611,4639,42,,13.5629
1611,4640,43,,13.8019
1611,4652,37,,12.757
1611,4653,38,,13.0151
1611,4655,39,,13.1203
1611,4688,26,,10.19
1611,4689,27,,10.3685
1611,4690,28,,10.4618
1611,5218,15,,8.1155
1611,5221,14,,7.943
1611,5222,16,,8.4511
1611,5224,19,,8.9765
2527,7513,38,,9.2898
2527,7515,39,,9.4756
2527,9707,3,,0.9141
2528,7188,18,,5.3087
2528,7191,16,,4.7255
2528,7391,40,,9.4783
2528,7444,42,,10.1791
2528,7445,43,,11.2715
2528,7485,32,,8.0701
2528,7486,31,,8.0117
2528,7495,30,,7.9462
2528,7497,29,,7.8895
2528,7500,28,,7.7484
2528,7506,34,,8.5644
2528,7507,35,,8.7629
2528,7509,36,,8.8448
2528,7511,37,,8.9911
2528,7513,38,,9.1274
2528,7515,39,,9.3132
2528,9707,2,,0.7422
2529,7392,4,,1.5224
2529,7393,3,,1.0504
2529,7483,12,,2.9433
2529,7484,13,,3.0924
2529,7487,14,,3.2734
2529,7501,15,,3.4281
2529,7502,16,,3.5739
2529,7504,11,,2.698
2529,7508,10,,2.431
2529,7512,8,,2.1746
2529,7514,7,,2.035
2529,7517,5,,1.7245
2530,8201,3,,0.5004
2530,8203,2,,0.3392
2532,1431,77,,21.1208
2532,1432,78,,21.3264
