stop_id,stop_code,stop_desc,stop_name,stop_lat,stop_lon,stop_calle,stop_numero,stop_entre,stop_esquina
1209,M1209,,Santiago Del Estero 801,-32.8712410996,-68.8235489272,Santiago Del Estero,801,Ramirez,
1210,M1210,,Santiago Del Estero 1002,-32.8711419778,-68.8210812949,Santiago Del Estero,1002,Chenaut,
1216,M1216,,Bajada De Arrollabes 2852,-32.8704797441,-68.8190526712,Bajada De Arrollabes,2852,Castelar,
1217,M1217,,Bajada De Arrollabes 2952,-32.8691133595,-68.8180032843,Bajada De Arrollabes,2952,Gob. Gonzalez,
1255,M1255,,Paso De Los Andes 1601,-32.8806016953,-68.8578206415,Paso De Los Andes,1601,Saenz Peña,
1263,M1263,,Paso De Los Andes 1701,-32.8794574032,-68.8572520132,Paso De Los Andes,1701,J. de Dios Videla,
1267,M1267,,Paso De Los Andes 1901,-32.8774390881,-68.8564902659,Paso De Los Andes,1901,Suipacha,
1272,M1272,,Paso De Los Andes 2101,-32.875159418,-68.855991375,Paso De Los Andes,2101,Cnel. Moldes,
1276,M1276,,Paso De Los Andes 2351,-32.8731590268,-68.8554066534,Paso De Los Andes,2351,J. Newbery,
1306,M1306,,Paso De Los Andes 301,-32.8960617064,-68.8592046614,Paso De Los Andes,301,Sobremonte,
1312,M1312,,Paso De Los Andes 451,-32.8941158394,-68.8589578981,Paso De Los Andes,451,M. A. Saez,
1316,M1316,,Paso De Los Andes 621,-32.8918365983,-68.8589793558,Paso De Los Andes,621,A. Villanueva,
1324,M1324,,Paso De Los Andes 801,-32.8896023445,-68.858968627,Paso De Los Andes,801,Martin Zapata,
1332,M1332,,Paso De Los Andes 31,-32.9006829691,-68.8598054762,Paso De Los Andes,31,Luzuriaga,
1334,M1334,,Martínez De Rosas 72,-32.9002214452,-68.8573075547,Martínez De Rosas,72,Luzuriaga,
1341,M1341,,Paso De Los Andes 101,-32.8984399302,-68.8594406958,Paso De Los Andes,101,Lamadrid,
1424,M1424,,Panocchia,-32.9860441172,-68.8808901799,Panocchia,,LINIERS,
1472,M1472,,Bajada Del Cerro,-32.8857167792,-68.8954181434,Bajada Del Cerro,,UCIM,
1473,M1473,,Bajada Del Cerro,-32.8860056489,-68.8955314668,Bajada Del Cerro,,UCIM,
1474,M1474,,Pablo Neruda,-32.8870530048,-68.9074780257,Pablo Neruda,,LOS LIROS,
1475,M1475,,Pablo Neruda,-32.8872579698,-68.9083363326,Pablo Neruda,,LOS LIROS,
1476,M1476,,Pablo Neruda,-32.8876341131,-68.9098893316,Pablo Neruda,,PELLEORINI,
1477,M1477,,Pablo Neruda,-32.8878751143,-68.9107825072,Pablo Neruda,,alear,
1478,M1478,,Piedra Del Águila,-32.8895981409,-68.9106376679,Piedra Del Águila,,CALLE,
1479,M1479,,Piedra Del Águila,-32.8907738339,-68.9102836164,Piedra Del Águila,,CALLE,
1480,M1480,,Piedra Del Águila,-32.8902355396,-68.9086286934,Piedra Del Águila,,CALLE,
1481,M1481,,Bajada Del Cerro,-32.8895012919,-68.9062281163,Bajada Del Cerro,,CALLE 1,
1482,M1482,,Bajada Del Cerro,-32.8869111057,-68.8990237029,Bajada Del Cerro,,CALLE,
1483,M1483,,Avenida Del Libertador,-32.8870259765,-68.8991953643,Avenida Del Libertador,,CALLE C,
1484,M1484,,Bajada Del Cerro,-32.8882760307,-68.9026902826,Bajada Del Cerro,,AV DEL LIBERTADOR,
1485,M1485,,Bajada Del Cerro,-32.8879168844,-68.9025762636,Bajada Del Cerro,,CALLE C,
1488,M1488,,Cane,-32.8335719635,-68.7658067858,Cane,,PASO HONDO,
1498,M1498,,Aristóbulo Del Valle,-32.8457992621,-68.7745494461,Aristóbulo Del Valle,,PRESIDENTE QUINTANA,
1499,M1499,,Aristóbulo Del Valle,-32.84744813,-68.774864932,Aristóbulo Del Valle,,GRAL PAZ,
1500,M1500,,Aristóbulo Del Valle,-32.8507363011,-68.7756400905,Aristóbulo Del Valle,,GRAL PAZ,
1501,M1501,,Aristóbulo Del Valle,-32.8530644802,-68.7761892727,Aristóbulo Del Valle,,SEGURA PP,
1508,M1508,,Recuerdo,-32.8056884113,-68.7632938824,Recuerdo,,PASO HONDO,
1509,M1509,,Recuerdo,-32.8053378466,-68.7674627057,Recuerdo,,PASO HONDO,
1510,M1510,,Recuerdo,-32.8053316469,-68.767421802,Recuerdo,,RUTA 40,
1511,M1511,,Recuerdo,-32.8048367959,-68.7723356089,Recuerdo,,RUTA 40,
1526,M1526,,Aristóbulo Del Valle,-32.8321323339,-68.7706035725,Aristóbulo Del Valle,,CANE,
1527,M1527,,Aristóbulo Del Valle,-32.8340451922,-68.7714437744,Aristóbulo Del Valle,,MONTEAVARO,
1536,M1536,,Aristóbulo Del Valle,-32.8354588216,-68.7719963095,Aristóbulo Del Valle,,GRAL. LAVALLE,
1537,M1537,,Aristóbulo Del Valle,-32.8401322585,-68.7731536827,Aristóbulo Del Valle,,TOTORA,
1538,M1538,,Aristóbulo Del Valle,-32.8402567674,-68.7731878809,Aristóbulo Del Valle,,TOTORA,
1548,M1548,,Aristóbulo Del Valle,-32.853032935,-68.7761906139,Aristóbulo Del Valle,,SEGURA PP,
1549,M1549,,Aristóbulo Del Valle,-32.860544884,-68.7780614546,Aristóbulo Del Valle,,MAURE,
1552,M1552,,Aristóbulo Del Valle,-32.8403401489,-68.7732006214,Aristóbulo Del Valle,,TOTORA,
1553,M1553,,Aristóbulo Del Valle,-32.8419548041,-68.7736438564,Aristóbulo Del Valle,,FLORIDA,
1554,M1554,,Aristóbulo Del Valle,-32.8417142415,-68.7735922239,Aristóbulo Del Valle,,LA FLORIDA,
1555,M1555,,Aristóbulo Del Valle,-32.8446251742,-68.7742828927,Aristóbulo Del Valle,,LUZURIAGA,
1556,M1556,,Aristóbulo Del Valle,-32.8441035006,-68.7739476166,Aristóbulo Del Valle,,FLORIDA,
1557,M1557,,Aristóbulo Del Valle,-32.8457659723,-68.7745511136,Aristóbulo Del Valle,,PRESIDENTE QUINTANA,
1558,M1558,,Aristóbulo Del Valle,-32.847390669,-68.7748743198,Aristóbulo Del Valle,,GRAL PAZ,
1570,M1570,,Aristóbulo Del Valle,-32.8605956066,-68.7780575832,Aristóbulo Del Valle,,MAURE,
1571,M1571,,Aristóbulo Del Valle,-32.8605404071,-68.7780595948,Aristóbulo Del Valle,,MAURE,
1575,M1575,,Tirasso,-32.8639948116,-68.7497488787,Tirasso,,AV MATHUS HOYOS,
1576,M1576,,Tirasso,-32.8697576732,-68.751562052,Tirasso,,PADRE MATHUS,
1577,M1577,,Tirasso,-32.8704605454,-68.7516505649,Tirasso,,AV MATHUS HOYOS,
