trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,card_code,active
2612,11,,C Belgno-H.L-Unc,NULL,1,2612,132,True
2454,12,,A Mun-Berm.Ctro,NULL,0,2454,150,True
2669,12,,A Mun-Berm.Ctro,NULL,1,2669,151,True
2670,12,,A Mun-Berm.Ctro,NULL,0,2670,151,True
2457,12,,B Mn-Esc-Berm-Gob,NULL,1,2457,152,True
2971,72,,Mendoza Maipu,MENDOZA MAIPU,1,2971,170,True
2256,1,,A-Blanc.Enc.Sp/Gv,014 - Blanco Encalada - Saenz Peña / Guardia Vieja ,1,2256,140,True
2257,1,,A-Blanc Enc.Sp/Gv,014 - Blanco Encalada por Saenz Peña-Guardia Vieja,0,2257,140,True
2258,1,,A-Bco.Enc.Sp/Gv,014 - Blanco Encalada - Guardia Vieja / Saenz Peña,1,2258,141,True
2259,1,,A-Bco.Enc.Sp/Gv,014A - Blanco Encalada - Guardia Vieja / Saenz Peña ,0,2259,141,True
3095,1,,A-Bco.Enc.Sp/Gv,014A - Blanco Encalada por Saenz Peña,1,3095,142,True
3096,1,,A-Bco.Enc.Sp/Gv,014A - Blanco Encalada por Saenz Peña,0,3096,142,True
3165,1,,B-Bco Enc Pan.,014B - Escolar Blanco Encalada de las 06:08 hs,1,3165,143,True
3174,1,,B-Bco Enc Pan.,014 - Escolar Blanco Encalada de las 17:00 hs,1,3174,143,True
2269,1,,C-Bcoen-Pan-Sol,014C - Escolar Blanco Encalada de las 07:25 hs,1,2269,144,True
2270,1,,C-Bcoen-Pan-Sol,014C- Escolar Blanco Encalada de las 07:25 hs,0,2270,144,True
2271,1,,C-Bcoen-Pan-Sol,014C - Escolar Blanco Encalada de las 06:55 hs,1,2271,145,True
2272,1,,C-Bcoen-Pan-Sol,014C- Escolar Blanco Encalada de las 06:55 hs,0,2272,145,False
3180,1,,D-Bcoenc-Pan-Nat,014D - Escolar Blanco Encalada de las 07:15 hs,1,3180,146,False
3181,1,,D-Bcoenc-Pan-Nat,014D - Escolar Blanco Encalada de las 07:15 hs,0,3181,146,False
2282,1,,E-Bcoenc-Pan-Loc.,014E - Escolar Blanco Encalada de las 08:10 hs,1,2282,147,True
2283,1,,E-Bcoenc-Pan-Loc.,014E - Escolar Blanco Encalada de las 08:10 hs,0,2283,147,True
2284,1,,E-Bcoenc-Pan-Loc.,014E- Escolar Blanco Encalada de las 12:20 hs,1,2284,148,False
