"ID-recorrido","id-linea","nombre-linea","ida-vuelta","activo","route-trip","codigo-de-sub-ramal","descripcion","destino"
1690,3312,"G-01-011A",1,1,11111,11111,"011A-CARR-CG-CTROxFA","011A - CARRODILLA - CENTRO X FIGUEROA ALCORTA - C. GOB."
2998,3312,"G-01-011A",0,1,11111,11111,"011A-Ctro-CarrxF.A. ","011 - Centro - Carrodilla x F. Alcorta - C. Gob"
2999,3312,"G-01-011A",0,1,11112,11112,"011A-Carr-Ctro.xF.A.","011 - Centro Carrodilla por F. Alcorta "
3003,3312,"G-01-011A",1,1,11112,11112,"011A-Carr-Ctro.XF.A.","011A - Carrodilla - Centro por F. Alcorta"
2994,3313,"G-01-011B",1,1,11113,11113,"011B-B21-Ctro.xF.A.","011 - B. 21 de Julio - Carrodilla - Centro por F. Alcorta - C/Gob. "
3000,3313,"G-01-011B",0,1,11113,11113,"011B-B21-Ctro.xF.A.","011B-Centro - Carrodilla x F. Alcorta "
3001,3312,"G-01-011A",0,1,11114,11114,"011A-Carr-CtroxF.A.","011A - Centro - Carrodilla x F. Alcorta"
3004,3312,"G-01-011A",1,1,11114,11114,"011A-Carr-Ctro.xF.A.","011-B. 21de Julio - Carrodilla - Centro x F. Alcorta "
2995,3314,"G-01-011C",0,1,11115,11115,"011C-Ctro-B21-Carr","011C - Centro - Carrodilla x F. Alcorta - B. 21 de Julio "
2996,3314,"G-01-011C",1,1,11115,11115,"011C-Ctro-B21-Carr","011C - Carrodilla - Centro - B. 21 de Julio x F. Alcorta - C/Gob. "
3005,3314,"G-01-011C",1,1,11116,11116,"011C-Ctro-B21-Carr","011C - Carrodilla - Centro x F. Alcorta - B. 21 de Julio"
3006,3314,"G-01-011C",0,1,11116,11116,"011C-Ctro-B21-Carr","011C - Centro - Carrodilla x F. Alcorta - B. 21 de Julio"
2239,3313,"G-01-011B",1,1,11117,11117,"011B-B21-Ctro.xF.A.","011 - Carrodilla-B. 21 de Julio - Centro x F. Alcorta"
2241,3313,"G-01-011B",0,1,11117,11117,"011B-B21-Ctro.xF.A.","011 - Centro - Carrodilla x F. Alcorta - B.21 de Julio."
2990,3313,"G-01-011B",0,1,11118,11118,"011B-B21-Ctro.xF.A.","NULL"
