"trip_id","H","S","D"
1640,05:00:00,05:06:00,06:06:00
1640,05:30:00,05:34:00,06:36:00
1640,05:42:00,06:08:00,07:06:00
1640,06:00:00,06:25:00,07:38:00
1640,06:08:00,06:42:00,08:02:00
1640,06:16:00,06:50:00,08:14:00
1640,06:24:00,06:59:00,08:36:00
1640,06:30:00,07:07:00,08:50:00
1640,06:36:00,07:16:00,09:02:00
1640,06:42:00,07:24:00,09:14:00
1640,06:48:00,07:33:00,09:26:00
1640,06:54:00,07:41:00,09:38:00
1640,07:00:00,07:50:00,09:50:00
1640,07:06:00,07:58:00,10:02:00
1640,07:12:00,08:07:00,10:14:00
1640,07:18:00,08:15:00,10:26:00
1640,07:24:00,08:24:00,10:38:00
1640,07:30:00,08:32:00,10:50:00
1640,07:36:00,08:41:00,11:02:00
1640,07:42:00,08:49:00,11:14:00
1640,07:48:00,08:58:00,11:26:00
1640,07:54:00,09:07:00,11:38:00
1640,08:00:00,09:16:00,11:50:00
1640,08:06:00,09:25:00,12:02:00
1640,08:12:00,09:35:00,12:14:00
1640,08:18:00,09:44:00,12:26:00
1640,08:24:00,09:53:00,12:38:00
1640,08:30:00,10:02:00,12:50:00
1640,08:36:00,10:12:00,13:02:00
1640,08:42:00,10:21:00,13:14:00
1640,08:48:00,10:30:00,13:26:00
1640,08:54:00,10:39:00,13:38:00
1640,09:00:00,10:49:00,13:50:00
1640,09:06:00,10:58:00,14:02:00
1640,09:12:00,11:07:00,14:14:00
1640,09:18:00,11:16:00,14:26:00
1640,09:24:00,11:26:00,14:38:00
1640,09:30:00,11:35:00,14:50:00
1640,09:36:00,11:44:00,15:02:00
1640,09:42:00,11:53:00,15:14:00
1640,09:48:00,12:03:00,15:26:00
1640,09:54:00,12:12:00,15:38:00
1640,10:00:00,12:21:00,15:50:00
1640,10:06:00,12:30:00,16:02:00
1640,10:12:00,12:40:00,16:14:00
1640,10:18:00,12:49:00,16:26:00
1640,10:24:00,12:58:00,16:38:00
1640,10:30:00,13:07:00,16:50:00
1640,10:36:00,13:17:00,17:02:00
1640,10:42:00,13:26:00,17:14:00
1640,10:48:00,13:35:00,17:26:00
1640,10:54:00,13:44:00,17:38:00
1640,11:00:00,13:54:00,17:50:00
1640,11:06:00,14:03:00,18:02:00
