"stop_id","trip_id","time"
"M7000",1602,"00:00:00"
"M7702",1602,"00:00:34"
"M1025",1640,"00:13:28"
"M1072",1640,"00:06:45"
"M1080",1640,"00:03:15"
"M1053",1640,"00:00:00"
"M2836",1610,"00:03:30"
"M2825",1610,"00:03:54"
"M2819",1610,"00:04:36"
"M2812",1610,"00:05:01"
"M2808",1610,"00:05:26"
"M2807",1610,"00:06:20"
"M2753",1610,"00:10:30"
"M2695",1610,"00:11:58"
"M2696",1610,"00:12:16"
"M2690",1610,"00:12:56"
"M4632",1610,"00:13:31"
"M4634",1610,"00:14:15"
"M4571",1610,"00:17:47"
"M4579",1610,"00:18:07"
"M5235",1610,"00:18:48"
"M4563",1610,"00:20:38"
"M4561",1610,"00:21:27"
"M4559",1610,"00:21:40"
"M4540",1610,"00:22:16"
"M4541",1610,"00:22:37"
"M4544",1610,"00:24:08"
"M4546",1610,"00:24:41"
"M4548",1610,"00:24:41"
"M4551",1610,"00:25:32"
"M4553",1610,"00:25:49"
"M4554",1610,"00:26:06"
"M5175",1610,"00:26:21"
"M5170",1610,"00:26:34"
"M5169",1610,"00:27:00"
"M6453",1610,"00:28:05"
"M5219",1610,"00:29:05"
"M6128",1610,"00:29:23"
"M6123",1610,"00:30:29"
"M6125",1610,"00:31:52"
"M6122",1610,"00:32:23"
"M2465",1610,"00:33:24"
"M2047",1610,"00:41:03"
"M2043",1610,"00:41:37"
"M2044",1610,"00:42:22"
"M2833",1610,"00:01:45"
"M2792",1610,"00:00:43"
"M2800",1610,"00:01:17"
"M2805",1610,"00:08:41"
"M2834",1610,"00:02:38"
"M4635",1610,"00:14:51"
"M4636",1610,"00:15:18"
"M4650",1610,"00:15:56"
"M4654",1610,"00:15:41"
"M2045",1611,"00:00:15"
"M2046",1611,"00:01:07"
"M2194",1611,"00:02:15"
"M2213",1611,"00:03:18"
"M2467",1611,"00:08:38"
"M6120",1611,"00:08:45"
"M6124",1611,"00:08:48"
"M6121",1611,"00:08:52"
"M5220",1611,"00:09:56"
"M6127",1611,"00:10:45"
"M6454",1611,"00:11:26"
"M5221",1611,"00:12:54"
"M5218",1611,"00:13:24"
"M5225",1611,"00:14:36"
"M5226",1611,"00:15:01"
"M5224",1611,"00:15:11"
"M4552",1611,"00:15:28"
"M4550",1611,"00:15:37"
"M4549",1611,"00:16:20"
"M4547",1611,"00:16:28"
"M4545",1611,"00:16:38"
"M4543",1611,"00:16:56"
"M4688",1611,"00:17:19"
"M4689",1611,"00:17:46"
"M4690",1611,"00:18:07"
"M4560",1611,"00:19:00"
"M4562",1611,"00:19:17"
"M4564",1611,"00:19:32"
"M4566",1610,"00:20:02"
"M4565",1611,"00:20:31"
"M4567",1611,"00:20:44"
"M4570",1611,"00:21:07"
"M4580",1611,"00:21:28"
"M4581",1611,"00:22:27"
"M4652",1611,"00:23:21"
"M4653",1611,"00:24:27"
"M4655",1611,"00:25:00"
"M4637",1611,"00:25:22"
"M4638",1611,"00:25:49"
"M4639",1611,"00:26:22"
"M4640",1611,"00:26:45"
"M2697",1611,"00:27:47"
"M2698",1611,"00:28:13"
