"stop_id","stop_name","cliente","tipo","calle","numero","entre","EsCartelInt","Activo","stop_lat","stop_lon"
"M1001","00701","Sec.Trans. Mendoza","Poste","Avenida Colón",701,"belgrano","No","Si",-32.8930326666,-68.8506837656
"M1002","00702","Sec.Trans. Mendoza","Poste","Avenida Perú",701,"San Lorenzo","No","No",-32.8924321712,-68.8492264643
"M1003","00703","Sec.Trans. Mendoza","Poste","San Lorenzo",702,"Peru","No","Si",-32.8922052027,-68.8495544225
"M1004","00704","Sec.Trans. Mendoza","Poste","25 de Mayo",702,"Colon","No","Si",-32.8933692184,-68.8482549531
"M1005","00705","Sec.Trans. Mendoza","Poste","Avenida Colón",551,"25 DE MAYO","No","Si",-32.8935080832,-68.8480527512
"M1006","00706","Sec.Trans. Mendoza","Poste","Chile",701,"San Lorenzo","No","Si",-32.8930756596,-68.8467384688
"M1007","00707","Sec.Trans. Mendoza","Poste","Avenida Colón",301,"MITRE","No","Si",-32.89402645,-68.8453220297
"M1008","00708","Sec.Trans. Mendoza","Poste","Patricias Mendocinas",702,"Colon","No","Si",-32.893982616,-68.8442845686
"M1009","00709","Sec.Trans. Mendoza","Poste","Avenida Colón",201,"PATRICIAS MENDOCINAS","No","Si",-32.8941976162,-68.8439862897
"M1010","00710","Sec.Trans. Mendoza","Poste","Avenida España",701,"San Lorenzo","No","Si",-32.8937828493,-68.8428371201
"M1011","00711","Sec.Trans. Mendoza","Poste","Avenida Colón",101,"Av. España","No","Si",-32.8945428691,-68.842532094
"M1012","00712","Sec.Trans. Mendoza","Poste","Avenida Zapata",2,"San Martin","No","Si",-32.8949864969,-68.839893972
"M1013","00713","Sec.Trans. Mendoza","Poste","San Juan",701,"Pardo","No","Si",-32.8951266444,-68.8377054424
"M1014","00714","Sec.Trans. Mendoza","Poste","San Juan",821,"Don Bosco","No","Si",-32.8932688018,-68.8371869926
"M1015","00715","Sec.Trans. Mendoza","Poste","La Rioja",751,"Pardo","No","Si",-32.89484663,-68.8364939251
"m1016","00716","Sec.Trans. Mendoza","Poste","San Juan",821,"Alem","No","Si",-32.8932415665,-68.8372508079
"M1017","00717","Sec.Trans. Mendoza","Poste","Avenida Alem",101,"Rioja","No","Si",-32.8930255071,-68.836500659
"M1018","00718","Sec.Trans. Mendoza","Poste","Avenida Alem",102,"San Juan","No","Si",-32.8928114423,-68.8365617474
"M1019","00719","Sec.Trans. Mendoza","Poste","Avenida Alem",2,"San Martin","No","Si",-32.8928654956,-68.8391581257
"M1020","00720","Sec.Trans. Mendoza","Poste","San Lorenzo",102,"9 de Julio","No","Si",-32.8936105857,-68.8417170077
"M1021","00721","Sec.Trans. Mendoza","Poste","9 de Julio",802,"San Lorenzo","No","Si",-32.8933245458,-68.8414910433
"M1022","00722","Sec.Trans. Mendoza","Poste","San Lorenzo",302,"PATRICIAS MENDOCINAS","No","Si",-32.8931961802,-68.8444528609
"M1023","00723","Sec.Trans. Mendoza","Poste","Avenida Perú",801,"Montevideo","No","Si",-32.8915807114,-68.8489401984
"M1024","00724","Sec.Trans. Mendoza","Poste","Patricias Mendocinas",802,"San Lorenzo","No","Si",-32.8929212655,-68.8441330238
"M1025","00725","Sec.Trans. Mendoza","Poste","9 de Julio",902,"Montevideo","No","Si",-32.8922187059,-68.84126842
"M1026","00726","Sec.Trans. Mendoza","Poste","Montevideo",101,"Av. España","No","Si",-32.89235351,-68.8420486375
"M1027","00727","Sec.Trans. Mendoza","Poste","Montevideo",201,"PATRICIAS MENDOCINAS","No","Si",-32.892074233,-68.8435184881
"M1028","00728","Sec.Trans. Mendoza","Poste","Montevideo",301,"MITRE","No","Si",-32.8918760359,-68.8445430919
"M1029","00729","Sec.Trans. Mendoza","Poste","Montevideo",601,"Peru","No","Si",-32.8910472068,-68.848561041
