"stop_time","trip_id","stop_id","stop_sequence"
"00:00:00","1602","M7000",100000
"00:00:34","1602","M7702",100001
"00:13:28","1640","M1025",100002
"00:06:45","1640","M1072",100003
"00:03:15","1640","M1080",100004
"00:00:00","1640","M1053",100005
"00:03:30","1610","M2836",100006
"00:03:54","1610","M2825",100007
"00:04:36","1610","M2819",100008
"00:05:01","1610","M2812",100009
"00:05:26","1610","M2808",100010
"00:06:20","1610","M2807",100011
"00:10:30","1610","M2753",100012
"00:11:58","1610","M2695",100013
"00:12:16","1610","M2696",100014
"00:12:56","1610","M2690",100015
"00:13:31","1610","M4632",100016
"00:14:15","1610","M4634",100017
"00:17:47","1610","M4571",100018
"00:18:07","1610","M4579",100019
"00:18:48","1610","M5235",100020
"00:20:38","1610","M4563",100021
"00:21:27","1610","M4561",100022
"00:21:40","1610","M4559",100023
"00:22:16","1610","M4540",100024
"00:22:37","1610","M4541",100025
"00:24:08","1610","M4544",100026
"00:24:41","1610","M4546",100027
"00:24:41","1610","M4548",100028
"00:25:32","1610","M4551",100029
"00:25:49","1610","M4553",100030
"00:26:06","1610","M4554",100031
"00:26:21","1610","M5175",100032
"00:26:34","1610","M5170",100033
"00:27:00","1610","M5169",100034
"00:28:05","1610","M6453",100035
"00:29:05","1610","M5219",100036
"00:29:23","1610","M6128",100037
"00:30:29","1610","M6123",100038
"00:31:52","1610","M6125",100039
"00:32:23","1610","M6122",100040
"00:33:24","1610","M2465",100041
"00:41:03","1610","M2047",100042
"00:41:37","1610","M2043",100043
"00:42:22","1610","M2044",100044
"00:01:45","1610","M2833",100045
"00:00:43","1610","M2792",100046
"00:01:17","1610","M2800",100047
"00:08:41","1610","M2805",100048
"00:02:38","1610","M2834",100049
"00:14:51","1610","M4635",100050
"00:15:18","1610","M4636",100051
"00:15:56","1610","M4650",100052
"00:15:41","1610","M4654",100053
"00:00:15","1611","M2045",100054
"00:01:07","1611","M2046",100055
"00:02:15","1611","M2194",100056
"00:03:18","1611","M2213",100057
"00:08:38","1611","M2467",100058
"00:08:45","1611","M6120",100059
"00:08:48","1611","M6124",100060
"00:08:52","1611","M6121",100061
"00:09:56","1611","M5220",100062
"00:10:45","1611","M6127",100063
"00:11:26","1611","M6454",100064
"00:12:54","1611","M5221",100065
"00:13:24","1611","M5218",100066
"00:14:36","1611","M5225",100067
"00:15:01","1611","M5226",100068
"00:15:11","1611","M5224",100069
"00:15:28","1611","M4552",100070
"00:15:37","1611","M4550",100071
"00:16:20","1611","M4549",100072
"00:16:28","1611","M4547",100073
"00:16:38","1611","M4545",100074
"00:16:56","1611","M4543",100075
"00:17:19","1611","M4688",100076
"00:17:46","1611","M4689",100077
"00:18:07","1611","M4690",100078
"00:19:00","1611","M4560",100079
"00:19:17","1611","M4562",100080
"00:19:32","1611","M4564",100081
"00:20:02","1610","M4566",100082
"00:20:31","1611","M4565",100083
"00:20:44","1611","M4567",100084
"00:21:07","1611","M4570",100085
"00:21:28","1611","M4580",100086
"00:22:27","1611","M4581",100087
"00:23:21","1611","M4652",100088
"00:24:27","1611","M4653",100089
"00:25:00","1611","M4655",100090
"00:25:22","1611","M4637",100091
"00:25:49","1611","M4638",100092
"00:26:22","1611","M4639",100093
"00:26:45","1611","M4640",100094
"00:27:47","1611","M2697",100095
"00:28:13","1611","M2698",100096
"00:28:54","1611","M2746",100097
"00:29:37","1611","M2792",100098
"00:29:50","1611","M2800",100099
"00:30:00","1611","M2833",100100
"00:30:25","1611","M2834",100101
"00:31:05","1611","M2836",100102
