"stop_lat","stop_entre","stop_lon","stop_numero","stop_calle","stop_id","stop_name"
-32.8930326666,"belgrano",-68.8506837656,"701","Avenida Colón","M1001","00701"
-32.8924321712,"San Lorenzo",-68.8492264643,"701","Avenida Perú","M1002","00702"
-32.8922052027,"Peru",-68.8495544225,"702","San Lorenzo","M1003","00703"
-32.8933692184,"Colon",-68.8482549531,"702","25 de Mayo","M1004","00704"
-32.8935080832,"25 DE MAYO",-68.8480527512,"551","Avenida Colón","M1005","00705"
-32.8930756596,"San Lorenzo",-68.8467384688,"701","Chile","M1006","00706"
-32.89402645,"MITRE",-68.8453220297,"301","Avenida Colón","M1007","00707"
-32.893982616,"Colon",-68.8442845686,"702","Patricias Mendocinas","M1008","00708"
-32.8941976162,"PATRICIAS MENDOCINAS",-68.8439862897,"201","Avenida Colón","M1009","00709"
-32.8937828493,"San Lorenzo",-68.8428371201,"701","Avenida España","M1010","00710"
-32.8945428691,"Av. España",-68.842532094,"101","Avenida Colón","M1011","00711"
-32.8949864969,"San Martin",-68.839893972,"2","Avenida Zapata","M1012","00712"
-32.8951266444,"Pardo",-68.8377054424,"701","San Juan","M1013","00713"
-32.8932688018,"Don Bosco",-68.8371869926,"821","San Juan","M1014","00714"
-32.89484663,"Pardo",-68.8364939251,"751","La Rioja","M1015","00715"
-32.8932415665,"Alem",-68.8372508079,"821","San Juan","m1016","00716"
-32.8930255071,"Rioja",-68.836500659,"101","Avenida Alem","M1017","00717"
-32.8928114423,"San Juan",-68.8365617474,"102","Avenida Alem","M1018","00718"
-32.8928654956,"San Martin",-68.8391581257,"2","Avenida Alem","M1019","00719"
-32.8936105857,"9 de Julio",-68.8417170077,"102","San Lorenzo","M1020","00720"
-32.8933245458,"San Lorenzo",-68.8414910433,"802","9 de Julio","M1021","00721"
-32.8931961802,"PATRICIAS MENDOCINAS",-68.8444528609,"302","San Lorenzo","M1022","00722"
-32.8915807114,"Montevideo",-68.8489401984,"801","Avenida Perú","M1023","00723"
-32.8929212655,"San Lorenzo",-68.8441330238,"802","Patricias Mendocinas","M1024","00724"
-32.8922187059,"Montevideo",-68.84126842,"902","9 de Julio","M1025","00725"
-32.89235351,"Av. España",-68.8420486375,"101","Montevideo","M1026","00726"
-32.892074233,"PATRICIAS MENDOCINAS",-68.8435184881,"201","Montevideo","M1027","00727"
-32.8918760359,"MITRE",-68.8445430919,"301","Montevideo","M1028","00728"
-32.8910472068,"Peru",-68.848561041,"601","Montevideo","M1029","00729"
-32.8910775706,"Montevideo",-68.8476527972,"902","25 de Mayo","M1030","00730"
-32.8910756727,"Rivadavia",-68.846073281,"901","Chile","M1031","00731"
-32.8910330279,"PATRICIAS MENDOCINAS",-68.8437921059,"302","Rivadavia","M1032","00732"
-32.8914917661,"Rivadavia",-68.8421695772,"901","Avenida España","M1033","00733"
-32.891493836,"Garibaldi",-68.8369986803,"901","San Juan","M1034","00734"
-32.8923511938,"Alem",-68.8360862293,"902","La Rioja","M1035","00735"
-32.8904441541,"Garibaldi",-68.8356824196,"1102","La Rioja","M1036","00736"
-32.8901615036,"Sarmiento",-68.840777373,"1102","9 de Julio","M1037","00737"
-32.8893950997,"Espejo",-68.8416111045,"","Avenida España","M1038","00738"
-32.8882470573,"9 de Julio",-68.8405863937,"102","Gutiérrez","M1039","00739"
-32.8886272891,"San Juan",-68.8377594333,"1","Lavalle","M1040","00740"
-32.8889082127,"Lavalle",-68.8368216545,"1201","San Juan","M1041","00741"
-32.8893855767,"Catamarca",-68.8358138479,"1202","La Rioja","M1042","00749"
-32.8873292692,"San Martin",-68.8381213896,"2","Buenos Aires","M1043","00743"
-32.8789973031,"Granaderos",-68.845235414,"601","Plaza Cnel.","M1044","10501"
-32.8782374911,"Las Petunias",-68.8457181349,"2062","Avenida Perú","M1045","10502"
-32.8775513941,"El Parral",-68.8424882232,"441","Vendimiadores","M1046","10503"
-32.8765910724,"Reta",-68.8430058018,"2201","El Parral","M1047","10504"
-32.8763791161,"El Parral",-68.8433991534,"542","Reta S.","M1048","10505"
-32.8772283254,"Vendimiadores",-68.8451173201,"2121","Avenida Perú","M1049","10506"
