"trip_headsign","direction_id","trip_short_name","trip_id","route_id","shape_id"
"011A-CARR-CG-CTROxFA","1","011A - CARRODILLA - CENTRO X FIGUEROA ALCORTA - C. GOB.","1690","011","1690"
"011A-Ctro-CarrxF.A. ","0","011 - Centro - Carrodilla x F. Alcorta - C. Gob","2998","011","2998"
"011A-Carr-Ctro.xF.A.","0","011 - Centro Carrodilla por F. Alcorta ","2999","011","2999"
"011A-Carr-Ctro.XF.A.","1","011A - Carrodilla - Centro por F. Alcorta","3003","011","3003"
"011B-B21-Ctro.xF.A.","1","011 - B. 21 de Julio - Carrodilla - Centro por F. Alcorta - C/Gob. ","2994","011","2994"
"011B-B21-Ctro.xF.A.","0","011B-Centro - Carrodilla x F. Alcorta ","3000","011","3000"
"011A-Carr-CtroxF.A.","0","011A - Centro - Carrodilla x F. Alcorta","3001","011","3001"
"011A-Carr-Ctro.xF.A.","1","011-B. 21de Julio - Carrodilla - Centro x F. Alcorta ","3004","011","3004"
"011C-Ctro-B21-Carr","0","011C - Centro - Carrodilla x F. Alcorta - B. 21 de Julio ","2995","011","2995"
"011C-Ctro-B21-Carr","1","011C - Carrodilla - Centro - B. 21 de Julio x F. Alcorta - C/Gob. ","2996","011","2996"
"011C-Ctro-B21-Carr","1","011C - Carrodilla - Centro x F. Alcorta - B. 21 de Julio","3005","011","3005"
"011C-Ctro-B21-Carr","0","011C - Centro - Carrodilla x F. Alcorta - B. 21 de Julio","3006","011","3006"
"011B-B21-Ctro.xF.A.","1","011 - Carrodilla-B. 21 de Julio - Centro x F. Alcorta","2239","011","2239"
"011B-B21-Ctro.xF.A.","0","011 - Centro - Carrodilla x F. Alcorta - B.21 de Julio.","2241","011","2241"
"011B-B21-Ctro.xF.A.","0","NULL","2990","011","2990"
"011B-B21-Ctro.xF.A.","1","011 - Carrodilla-B. 21 de Julio - Centro x F. Alcorta. C./Gob.","2991","011","2991"
"012-F.Cuyo-Chac-Ctro","1","012 - Carrodilla - Centro Por Flor de Cuyo - Chacras de Coria","2221","012","2221"
"012-FCuyo-Casta-Ctro","0","012 - Centro - B  Flor de Cuyo - B  Los Castaños","2230","012","2230"
"012-F.Cuyo-Ctro","1","012 - Carrodilla por B  Flor de Cuyo - Centro","3052","012","3052"
"012-F.Cuyo-Ctro","0","012 - Centro - Carrodilla por B  Flor de Cuyo","3053","012","3053"
"012-F.Cuyo-Chac-Ctro","1","012 - Carrodilla - Centro por B  Flor de Cuyo","3059","012","3059"
